JMG.L,491.2, 4:35PM,01/13/2010,-7.9,498.8,500,491.1,159,UK Star
NTG.L,222.1, 4:35PM,01/13/2010,-7.9,231.3,231.3,218.9,5219,UK Star
DNO.L,344.2, 4:35PM,01/13/2010,-7.8,350.5,351.8,343.1,156,UK Star
TALV.L,375.8, 4:35PM,01/13/2010,-7.7,379.8,382.7,373.1,3745,UK Star
BLND.L,466, 4:35PM,01/13/2010,-7.54,467.2,470.8,464.2,25683,UK Star
ASL.L,524, 4:35PM,01/13/2010,-7.5,530.5,532,523,1636,UK Star
BP.L,626.6, 4:35PM,01/13/2010,-7.2,629,631.5,623.1,413912,UK Star
PZC.L,248.5, 4:35PM,01/13/2010,-7.2,257,257,248.5,1155,UK Star
AQP.L,418, 4:35PM,01/13/2010,-7,425,435,415.2,10617,UK Star
FEV.L,1153, 4:35PM,01/13/2010,-7,1152,1158,1135,602,UK Star
AGK.L,921, 4:35PM,01/13/2010,-6.5,927.5,935,915.5,6756,UK Star
RSW.L,591.5, 4:35PM,01/13/2010,-6.5,575.5,598.5,575.5,260,UK Star
SN.L,642, 4:35PM,01/13/2010,-6.5,649,649.5,639.5,23963,UK Star
BGC.L,173.7, 4:35PM,01/13/2010,-6.3,178.9,180,171,2899,UK Star
BTEM.L,421.7, 4:35PM,01/13/2010,-6.2,425,430.7,421.7,426,UK Star
TPK.L,821, 4:35PM,01/13/2010,-6,830,835,811.5,9777,UK Star
SCIN.L,457, 4:35PM,01/13/2010,-5.95,456.3,459.2,452.5,206,UK Star
MRCH.L,350, 4:35PM,01/13/2010,-5.9,354.5,356.5,350,525,UK Star
CKSN.L,461, 4:35PM,01/13/2010,-5.5,467.8,470.8,455.5,15953,UK Star
PAY.L,424.8, 4:35PM,01/13/2010,-5.5,428.8,433.4,410,150,UK Star
PRU.L,624, 4:35PM,01/13/2010,-5.5,627,638,619.5,49574,UK Star
DCG.L,337.8, 4:35PM,01/13/2010,-5.4,340,351.2,337.8,4285,UK Star
IGG.L,377.6, 4:35PM,01/13/2010,-5.1,385.1,391.4,373.1,11000,UK Star
BNKR.L,370, 4:39PM,01/13/2010,-5,370.1,375,366,799,UK Star
CPI.L,732.5, 4:35PM,01/13/2010,-5,737.5,741,727.5,10005,UK Star
CWK.L,744, 4:37PM,01/13/2010,-5,750,768.5,739,231,UK Star
GNS.L,685, 4:35PM,01/13/2010,-5,691.5,691.5,685,101,UK Star
TEM.L,539.5, 4:35PM,01/13/2010,-5,543,546,538.5,7734,UK Star
FXPO.L,230.9, 4:35PM,01/13/2010,-4.9,237,239.7,227.8,12267,UK Star
WG.L,337.9, 4:35PM,01/13/2010,-4.8,338.8,344.5,332.6,15220,UK Star
ASHM.L,245.4, 4:35PM,01/13/2010,-4.6,246.4,255.4,241.1,10604,UK Star
GPOR.L,290.6, 4:35PM,01/13/2010,-4.3,293,296.8,289.2,5124,UK Star
ERM.L,453.8, 4:35PM,01/13/2010,-4.2,455,458.4,452,161,UK Star
MKS.L,368.4, 4:35PM,01/13/2010,-4.1,370.7,374.4,366.6,124208,UK Star
MNKS.L,299.8, 4:35PM,01/13/2010,-4.1,304.8,305,299.8,674,UK Star
RIO.L,3538.5, 4:35PM,01/13/2010,-19,3528.5,3618,3502,50920,UK Star
DNX.L,1254, 4:35PM,01/13/2010,-18,1254,1273,1250,4047,UK Star
LSE.L,680, 4:35PM,01/13/2010,-16,692,694,678,8919,UK Star
HOC.L,335, 4:35PM,01/13/2010,-15.7,352,352,334,2391,UK Star
GSK.L,1275, 4:35PM,01/13/2010,-15,1290,1299,1270.5,99433,UK Star
RAT.L,845, 4:35PM,01/13/2010,-15,857,861,841,86,UK Star
WSM.L,520, 4:35PM,01/13/2010,-15,535,537.5,512.5,5078,UK Star
RCP.L,1029, 4:35PM,01/13/2010,-14,1030,1041,1027,305,UK Star
AMEC.L,779, 4:35PM,01/13/2010,-13.5,786,792,766,19836,UK Star
BLT.L,2042.5, 4:35PM,01/13/2010,-13.5,2052,2091.5,2026,91920,UK Star
CLDN.L,1635, 4:35PM,01/13/2010,-13,1638,1660,1635,151,UK Star
FRES.L,795.5, 4:35PM,01/13/2010,-12.5,801,826.5,792,7232,UK Star
DPH.L,462, 4:35PM,01/13/2010,-12,478,482,462,510,UK Star
FSV.L,548, 4:35PM,01/13/2010,-12,555.5,559.5,548,75,UK Star
KIE.L,1061, 4:35PM,01/13/2010,-12,1079,1082,1048,153,UK Star
TCY.L,404.5, 4:35PM,01/13/2010,-12,415,417.9,404.5,1061,UK Star
