Dates,VIX
1/31/1990,25.36
2/28/1990,21.99
3/30/1990,19.73
4/30/1990,19.52
5/31/1990,17.37
6/29/1990,15.5
7/31/1990,21.11
8/31/1990,29.9
9/28/1990,29.11
10/31/1990,30.04
11/30/1990,22.16
12/31/1990,26.38
1/31/1991,20.91
2/28/1991,21.23
3/29/1991,16.88
4/30/1991,18.24
5/31/1991,15.93
6/28/1991,19.55
7/31/1991,15.18
8/30/1991,14.46
9/30/1991,15.85
10/31/1991,15.48
11/29/1991,20.26
12/31/1991,19.31
1/31/1992,17.4
2/28/1992,16.68
3/31/1992,16.18
4/30/1992,15.53
5/29/1992,13.86
6/30/1992,13.35
7/31/1992,13.17
8/31/1992,13.58
9/30/1992,14.28
10/30/1992,16.15
11/30/1992,13.01
12/31/1992,12.57
1/29/1993,12.42
2/26/1993,13.16
3/31/1993,12.53
4/30/1993,12.42
5/31/1993,13.47
6/30/1993,11.26
7/30/1993,11.73
8/31/1993,11.85
9/30/1993,12.99
10/29/1993,11.46
11/30/1993,13.76
12/31/1993,11.66
1/31/1994,10.63
2/28/1994,14.87
3/31/1994,20.45
4/29/1994,13.77
5/31/1994,13.03
6/30/1994,14.97
7/29/1994,11.13
8/31/1994,11.97
9/30/1994,14.28
10/31/1994,14.56
11/30/1994,15.95
12/30/1994,13.2
1/31/1995,11.96
2/28/1995,11.75
3/31/1995,13.37
4/28/1995,11.75
5/31/1995,12.85
6/30/1995,11.38
7/31/1995,13.49
8/31/1995,11.52
9/29/1995,12.74
10/31/1995,13.83
11/30/1995,11.58
12/29/1995,12.52
1/31/1996,12.53
2/29/1996,17.04
3/29/1996,18.88
4/30/1996,15.83
5/31/1996,16.07
6/28/1996,13.68
7/31/1996,19.46
8/30/1996,17.01
9/30/1996,16.95
10/31/1996,18.11
11/29/1996,17.14
12/31/1996,20.92
1/31/1997,19.47
2/28/1997,21.1
3/31/1997,22.14
4/30/1997,20.06
5/30/1997,19.19
6/30/1997,21.53
7/31/1997,21.48
8/29/1997,24.76
9/30/1997,22.91
10/31/1997,35.09
11/28/1997,27.43
12/31/1997,24.01
1/30/1998,21.47
2/27/1998,18.55
3/31/1998,24.22
4/30/1998,21.18
5/29/1998,21.32
6/30/1998,19.71
7/31/1998,24.8
8/31/1998,44.28
9/30/1998,40.95
10/30/1998,28.05
11/30/1998,26.01
12/31/1998,24.42
1/29/1999,26.25
2/26/1999,27.88
3/31/1999,23.26
4/30/1999,25.07
5/31/1999,25.39
6/30/1999,21.09
7/30/1999,24.64
8/31/1999,24.45
9/30/1999,25.41
10/29/1999,22.2
11/30/1999,24.18
12/31/1999,24.64
1/31/2000,24.95
2/29/2000,23.37
3/31/2000,24.11
4/28/2000,26.2
5/31/2000,23.65
6/30/2000,19.54
7/31/2000,20.74
8/31/2000,16.84
9/29/2000,20.57
10/31/2000,23.63
11/30/2000,29.65
12/29/2000,26.85
1/31/2001,22.02
2/28/2001,28.35
3/30/2001,28.64
4/30/2001,25.48
5/31/2001,22.64
6/29/2001,19.06
7/31/2001,21.62
8/31/2001,24.92
9/28/2001,31.93
10/31/2001,33.56
11/30/2001,23.84
12/31/2001,23.8
1/31/2002,21.09
2/28/2002,21.59
3/29/2002,17.4
4/30/2002,21.91
5/31/2002,19.98
6/28/2002,25.4
7/31/2002,32.03
8/30/2002,32.64
9/30/2002,39.69
10/31/2002,31.14
11/29/2002,27.5
12/31/2002,28.62
1/31/2003,31.17
2/28/2003,29.63
3/31/2003,29.15
4/30/2003,21.21
5/30/2003,19.47
6/30/2003,19.52
7/31/2003,19.49
8/29/2003,18.63
9/30/2003,22.72
10/31/2003,16.1
11/28/2003,16.32
12/31/2003,18.31
1/30/2004,16.63
2/27/2004,14.55
3/31/2004,16.74
4/30/2004,17.19
5/31/2004,15.5
6/30/2004,14.34
7/30/2004,15.32
8/31/2004,15.29
9/30/2004,13.34
10/29/2004,16.27
11/30/2004,13.24
12/31/2004,13.29
1/31/2005,12.82
2/28/2005,12.08
3/31/2005,14.02
4/29/2005,15.31
5/31/2005,13.29
6/30/2005,12.04
7/29/2005,11.57
8/31/2005,12.6
9/30/2005,11.92
10/31/2005,15.32
11/30/2005,12.06
12/30/2005,12.07
1/31/2006,12.95
2/28/2006,12.34
3/31/2006,11.39
4/28/2006,11.59
5/31/2006,16.44
6/30/2006,13.08
7/31/2006,14.95
8/31/2006,12.31
9/29/2006,11.98
10/31/2006,11.1
11/30/2006,10.91
12/29/2006,11.56
1/31/2007,10.42
2/28/2007,15.42
3/30/2007,14.64
4/30/2007,14.22
5/31/2007,13.05
6/29/2007,16.23
7/31/2007,23.52
8/31/2007,23.38
9/28/2007,18
10/31/2007,18.53
11/30/2007,22.87
12/31/2007,22.5
1/31/2008,26.2
2/29/2008,26.54
3/31/2008,25.61
4/30/2008,20.79
5/30/2008,17.83
6/30/2008,23.95
7/31/2008,22.94
8/29/2008,20.65
9/30/2008,39.39
10/31/2008,59.89
11/28/2008,55.28
12/31/2008,40
1/30/2009,44.84
2/27/2009,46.35
3/31/2009,44.14
4/30/2009,36.5
5/29/2009,28.92
6/30/2009,26.35
7/31/2009,25.92
8/31/2009,26.01
9/30/2009,25.61
10/30/2009,30.69
11/30/2009,24.51
12/31/2009,21.68
1/29/2010,24.62
2/26/2010,19.5
3/31/2010,17.59
4/30/2010,22.05
5/31/2010,32.07
6/30/2010,34.54
7/30/2010,23.5
8/31/2010,26.05
9/30/2010,23.7
10/29/2010,21.2
11/30/2010,23.54
12/31/2010,17.75
1/31/2011,19.53
2/28/2011,18.35
3/31/2011,17.74
4/29/2011,14.75
5/31/2011,15.45
6/30/2011,16.52
7/29/2011,25.25
8/31/2011,31.62
9/30/2011,42.96
10/31/2011,29.96
11/30/2011,27.8
12/30/2011,23.4
1/31/2012,19.44
2/29/2012,18.43
3/30/2012,15.5
4/30/2012,17.15
5/31/2012,24.06
6/29/2012,17.08
7/31/2012,18.93
8/31/2012,17.47
9/28/2012,15.73
10/31/2012,18.6
11/30/2012,15.87
12/31/2012,18.02
1/31/2013,14.28
2/28/2013,15.51
3/29/2013,12.7
4/30/2013,13.52
5/31/2013,16.3
6/28/2013,16.86
7/31/2013,13.45
8/30/2013,17.01
9/30/2013,16.6
10/31/2013,13.75
11/29/2013,13.7
12/31/2013,13.72
1/31/2014,18.41
2/28/2014,14
3/31/2014,13.88
4/30/2014,13.41
5/30/2014,11.4
6/30/2014,11.57
7/31/2014,16.95
8/29/2014,11.98
9/30/2014,16.31
10/31/2014,14.03
11/28/2014,13.33
12/31/2014,19.2
1/30/2015,20.97
2/27/2015,13.34
3/31/2015,15.29
4/30/2015,14.55
5/29/2015,13.84
6/30/2015,18.23
7/31/2015,12.12
8/31/2015,28.43
9/30/2015,24.5
10/30/2015,15.07
11/30/2015,16.13
12/31/2015,18.21
1/29/2016,20.2
2/29/2016,20.55
3/31/2016,13.95
4/29/2016,15.7
